This is a listing of tables and columns in the SEAD database in the form of a (semicolon seperated) CSV file. Note that all FKs (i.e. columns where is_sk equals YES) with name xyz_id references table tbl_xyz (plural form of tbl_xyz) having PK  (is_pk equals YES) xyz_id. All columns ending with "_id" are integers, starting with "is_" is boolean. Other columns you can treat as text (unless other type is ovious). It's an archealogical database. Could you suggest an ontology, with most significant entities, and create a proposed OBDA model?

```tsv
schema_name	entity_name	table_name	column_name	comment	is_pk	is_fk
public	Abundance Element	tbl_abundance_elements		Contains reference data that defines the type of element, part, or unit being counted, as indicated by the values in tbl_abundances. For insects, this is often the Minimum Number of Individuals (MNI), but it can also include individual body parts such as wings, shells, or leg segments. For plant remains (macrofossils), it generally represents specific plant parts like seeds, leaves, or bud scales.		
public		tbl_abundance_elements	abundance_element_id	Primary key (automatically incremented).	YES	NO
public		tbl_abundance_elements	element_description	Detailed description of the element, such as 'minimum number of individuals', 'base of seed grain', or 'covering of leaf or flower bud'.	NO	NO
public		tbl_abundance_elements	element_name	Abbreviated name for the element, such as 'mni', 'seed', or 'leaf'.	NO	NO
public		tbl_abundance_elements	record_type_id	Specifies record types, thereby restricting the list of available elements based on the record type. This facilitates the use of the same term for different proxies, such as 'mni insects' versus 'mni seeds', without causing confusion.	NO	YES
public		tbl_abundance_ident_levels	abundance_id	Specifies the related abundance record.	NO	YES
public		tbl_abundance_ident_levels	identification_level_id	Specifies the specific identification level.	NO	YES
public	Abundance Identification Level	tbl_abundance_ident_levels		Represents the degree of certainty in taxonomic identification, categorized by levels such as Family, Genus, or Species (e.g., cf. Family, cf. Genus, cf. Species).		
public		tbl_abundance_ident_levels	abundance_ident_level_id	Primary key (automatically incremented).	YES	NO
public		tbl_abundance_modifications	abundance_id	Specifies the related abundance record.	NO	YES
public	Abundance Modification	tbl_abundance_modifications		Contains information about modifications applied to individual specimen counts, such as carbonization, corrosion, or calcification. This enables recording multiple instances of the same taxon with varying modifications (e.g., Hordeum sp. carbonized and Hordeum sp. unmodified).		
public		tbl_abundance_modifications	abundance_modification_id	Primary key (automatically incremented).	YES	NO
public		tbl_abundance_modifications	modification_type_id	Specifies the type of modification applied.	NO	YES
public		tbl_abundances	abundance	Represents the frequency of occurrence, which is usually a numerical count, but can also indicate presence (1), a categorical value, or a value on a relative scale, in accordance with the dataset's data type.	NO	NO
public		tbl_abundances	abundance_element_id	Specifies specific parts of a taxon, like leaf, seed, or MNI (Minimum Number of Individuals), enabling detailed taxonomic recording.	NO	YES
public		tbl_abundances	analysis_entity_id	Identifies the specific analysis entity associated with this record.	NO	YES
public	Abundance	tbl_abundances		Records data related to biological proxies, such as individual counts, presence indicators, or scaled values, linking each entry to a specific taxon through an analysis entity. It serves as a species list detailing abundance information for a single physical sample. The intermediate analysis entity allows for the association of multiple proxies per sample. Entries typically reflect count values (abundance), but can also denote presence (1) or use categorical or relative scales, as specified by the dataset's data type.		
public		tbl_abundances	abundance_id	Primary key (automatically incremented).	YES	NO
public		tbl_abundances	taxon_id	Specifies the taxonomic unit related to this record.	NO	YES
public		tbl_activity_types	activity_type	Name showing the type of activity or life stage.	NO	NO
public	Activity Type	tbl_activity_types		Defines the life stage or activity of an organism during a specific time of the year, such as 'adult' or 'flowering'.		
public		tbl_activity_types	activity_type_id	Primary key (automatically incremented).	YES	NO
public		tbl_activity_types	description	Detailed description of the organism's state during the specified time, such as 'adult' or 'flowering'.	NO	NO
public		tbl_age_types	age_type	Abbreviation representing the chronological system (e.g., AD, BC, BP).	NO	NO
